origin,destination,4_7,7_10,10_13,13_16,16_19,19_22,origin_id,destination_id
2200_transmilenio-troncal,4107_transmilenio-troncal,12.466666666666667,10.7,10.7,10.7,10.55,10.733333333333334,2200,4107
2200_transmilenio-troncal,4103_transmilenio-troncal,16.55,15.55,15.549999999999999,15.549999999999999,15.216666666666667,15.533333333333335,2200,4103
2200_transmilenio-troncal,4101_transmilenio-troncal,18.15,17.25,17.25,17.25,16.983333333333334,17.233333333333334,2200,4101
2200_transmilenio-troncal,4108_transmilenio-troncal,11.266666666666666,9.366666666666667,9.366666666666667,9.366666666666667,9.35,9.4,2200,4108
2200_transmilenio-troncal,4000_transmilenio-troncal,21.45,19.75,22.03333333333333,22.03333333333333,21.366666666666667,22.016666666666666,2200,4000
2200_transmilenio-troncal,4001_transmilenio-troncal,21.316666666666666,19.46666666666667,21.93333333333333,21.93333333333333,21.466666666666665,21.916666666666664,2200,4001
2200_transmilenio-troncal,7103_transmilenio-troncal,11.25,9.35,9.35,9.35,9.333333333333332,9.383333333333333,2200,7103
2200_transmilenio-troncal,7108_transmilenio-troncal,18.366666666666667,16.85,17.2,17.2,17.116666666666664,17.23333333333333,2200,7108
2200_transmilenio-troncal,7109_transmilenio-troncal,20.433333333333334,18.816666666666666,18.71666666666667,18.71666666666667,18.566666666666666,18.75,2200,7109
2200_transmilenio-troncal,7106_transmilenio-troncal,16.2,14.35,14.35,14.35,14.333333333333332,14.366666666666667,2200,7106
2200_transmilenio-troncal,7101_transmilenio-troncal,9.2,6.733333333333333,6.733333333333333,6.733333333333333,6.583333333333333,6.733333333333333,2200,7101
2200_transmilenio-troncal,7105_transmilenio-troncal,14.75,12.85,12.85,12.85,12.833333333333332,12.883333333333333,2200,7105
2200_transmilenio-troncal,7110_transmilenio-troncal,19.75,17.85,17.85,17.85,17.833333333333332,17.883333333333333,2200,7110
2200_transmilenio-troncal,12003_transmilenio-troncal,23.53333333333333,22.316666666666663,22.53333333333333,22.53333333333333,22.099999999999998,22.566666666666666,2200,12003
2200_transmilenio-troncal,7111_transmilenio-troncal,21.45,19.616666666666667,19.616666666666667,19.616666666666667,19.53333333333333,19.65,2200,7111
2200_transmilenio-troncal,7104_transmilenio-troncal,13.6,11.7,11.516666666666666,11.516666666666666,11.499999999999998,11.833333333333332,2200,7104
2200_transmilenio-troncal,7107_transmilenio-troncal,17.316666666666666,15.633333333333333,15.483333333333334,15.483333333333334,15.466666666666665,15.516666666666666,2200,7107
2200_transmilenio-troncal,5107_transmilenio-troncal,27.416666666666664,25.866666666666667,28.0,28.0,27.299999999999997,28.03333333333333,2200,5107
2200_transmilenio-troncal,5100_transmilenio-troncal,29.7,28.083333333333332,30.53333333333333,30.53333333333333,30.23333333333333,30.566666666666666,2200,5100
2200_transmilenio-troncal,5002_transmilenio-troncal,32.983333333333334,31.366666666666667,33.81666666666666,33.81666666666666,33.36666666666667,33.85,2200,5002
2200_transmilenio-troncal,12002_transmilenio-troncal,23.2,21.583333333333332,24.03333333333333,24.03333333333333,23.73333333333333,24.066666666666666,2200,12002
2200_transmilenio-troncal,12001_transmilenio-troncal,26.116666666666664,24.499999999999996,26.216666666666665,26.216666666666665,25.316666666666663,25.78333333333333,2200,12001
2200_transmilenio-troncal,14001_transmilenio-troncal,21.03333333333333,19.666666666666664,19.78333333333333,19.78333333333333,19.599999999999998,19.816666666666666,2200,14001
2200_transmilenio-troncal,5101_transmilenio-troncal,30.933333333333334,29.55,32.0,32.0,31.466666666666665,32.03333333333333,2200,5101
2200_transmilenio-troncal,5103_transmilenio-troncal,28.383333333333333,26.883333333333333,29.333333333333332,29.333333333333332,28.916666666666664,29.366666666666667,2200,5103
2200_transmilenio-troncal,5102_transmilenio-troncal,29.55,28.083333333333332,30.53333333333333,30.53333333333333,30.083333333333332,30.566666666666666,2200,5102
2200_transmilenio-troncal,5001_transmilenio-troncal,33.666666666666664,32.05,34.699999999999996,35.666666666666664,35.15,35.7,2200,5001
2200_transmilenio-troncal,5000_transmilenio-troncal,34.983333333333334,33.65,36.83333333333333,37.8,36.55,36.766666666666666,2200,5000
2200_transmilenio-troncal,5105_transmilenio-troncal,25.7,24.083333333333332,26.53333333333333,26.53333333333333,26.23333333333333,26.566666666666666,2200,5105
2200_transmilenio-troncal,12000_transmilenio-troncal,27.43333333333333,25.849999999999998,27.566666666666666,27.566666666666666,26.666666666666664,27.133333333333333,2200,12000
2200_transmilenio-troncal,12004_transmilenio-troncal,22.55,21.28333333333333,21.4,21.4,21.216666666666665,21.433333333333334,2200,12004
2200_transmilenio-troncal,5005_transmilenio-troncal,32.2,30.583333333333332,33.03333333333333,33.03333333333333,32.733333333333334,33.06666666666666,2200,5005
2200_transmilenio-troncal,12007_transmilenio-troncal,24.916666666666664,23.299999999999997,25.016666666666666,25.016666666666666,24.48333333333333,25.05,2200,12007
2200_transmilenio-troncal,7005_transmilenio-troncal,30.616666666666667,29.0,29.25,29.25,28.7,29.166666666666664,2200,7005
2200_transmilenio-troncal,7112_transmilenio-troncal,23.5,21.6,21.6,21.6,21.583333333333332,21.633333333333333,2200,7112
2200_transmilenio-troncal,7006_transmilenio-troncal,29.616666666666664,28.2,28.3,28.3,27.716666666666665,27.766666666666666,2200,7006
2200_transmilenio-troncal,7002_transmilenio-troncal,35.349999999999994,33.93333333333333,34.03333333333333,34.03333333333333,33.55,33.6,2200,7002
2200_transmilenio-troncal,7008_transmilenio-troncal,27.166666666666664,25.633333333333333,26.133333333333333,26.133333333333333,25.833333333333332,26.166666666666664,2200,7008
2200_transmilenio-troncal,7007_transmilenio-troncal,29.166666666666664,27.333333333333332,28.133333333333333,28.133333333333333,27.833333333333332,28.166666666666664,2200,7007
2200_transmilenio-troncal,7001_transmilenio-troncal,37.1,35.766666666666666,36.53333333333333,36.53333333333333,35.1,35.28333333333333,2200,7001
2200_transmilenio-troncal,7009_transmilenio-troncal,25.866666666666667,24.25,24.25,24.25,23.95,24.28333333333333,2200,7009
2200_transmilenio-troncal,7003_transmilenio-troncal,32.86666666666667,31.25,31.5,31.5,30.95,31.416666666666664,2200,7003
2200_transmilenio-troncal,7113_transmilenio-troncal,24.333333333333332,22.5,22.5,22.5,22.416666666666664,22.9,2200,7113
2200_transmilenio-troncal,7004_transmilenio-troncal,32.4,31.066666666666666,31.21666666666667,31.21666666666667,30.5,30.683333333333334,2200,7004
2200_transmilenio-troncal,8002_transmilenio-troncal,28.449999999999996,26.86666666666667,26.86666666666667,31.766666666666662,31.199999999999996,31.8,2200,8002
2200_transmilenio-troncal,9100_transmilenio-troncal,25.299999999999997,23.66666666666667,23.66666666666667,28.566666666666663,28.049999999999997,28.6,2200,9100
2200_transmilenio-troncal,9105_transmilenio-troncal,20.383333333333333,18.483333333333334,18.483333333333334,23.816666666666666,23.799999999999997,23.85,2200,9105
2200_transmilenio-troncal,9107_transmilenio-troncal,20.9,19.0,19.0,22.416666666666664,22.4,22.45,2200,9107
2200_transmilenio-troncal,9106_transmilenio-troncal,19.25,17.35,17.35,22.683333333333334,22.666666666666664,22.71666666666667,2200,9106
2200_transmilenio-troncal,9103_transmilenio-troncal,21.883333333333333,19.983333333333334,19.983333333333334,25.316666666666666,25.299999999999997,25.35,2200,9103
2200_transmilenio-troncal,8001_transmilenio-troncal,29.499999999999996,27.86666666666667,27.86666666666667,32.766666666666666,32.25,32.800000000000004,2200,8001
2200_transmilenio-troncal,8000_transmilenio-troncal,28.983333333333334,27.16666666666667,27.83333333333334,32.73333333333333,32.016666666666666,32.46666666666667,2200,8000
2200_transmilenio-troncal,9101_transmilenio-troncal,24.1,22.200000000000003,22.200000000000003,27.53333333333333,27.516666666666666,27.56666666666667,2200,9101
2200_transmilenio-troncal,9104_transmilenio-troncal,21.333333333333332,19.51666666666667,19.51666666666667,24.85,24.833333333333332,24.883333333333336,2200,9104
2200_transmilenio-troncal,9004_transmilenio-troncal,26.93333333333333,25.300000000000004,25.300000000000004,30.199999999999996,29.68333333333333,30.233333333333334,2200,9004
2200_transmilenio-troncal,9002_transmilenio-troncal,26.383333333333333,24.483333333333334,24.483333333333334,29.816666666666666,29.799999999999997,29.85,2200,9002
2200_transmilenio-troncal,9001_transmilenio-troncal,24.883333333333333,22.983333333333334,22.983333333333334,28.316666666666666,28.299999999999997,28.35,2200,9001
2200_transmilenio-troncal,9000_transmilenio-troncal,27.883333333333333,25.983333333333334,25.983333333333334,31.316666666666666,31.299999999999997,31.35,2200,9000
2200_transmilenio-troncal,9003_transmilenio-troncal,27.949999999999996,26.233333333333334,26.233333333333334,31.566666666666666,31.549999999999997,31.6,2200,9003
2200_transmilenio-troncal,14005_transmilenio-troncal,23.033333333333335,21.883333333333333,22.016666666666662,22.099999999999998,21.96666666666667,22.01666666666667,2200,14005
2200_transmilenio-troncal,14004_transmilenio-troncal,21.683333333333334,20.53333333333333,20.616666666666664,20.7,20.616666666666667,20.666666666666668,2200,14004
2200_transmilenio-troncal,6100_transmilenio-troncal,29.250000000000004,28.183333333333337,30.316666666666666,30.316666666666666,29.93333333333333,30.349999999999998,2200,6100
2200_transmilenio-troncal,6103_transmilenio-troncal,24.700000000000003,23.450000000000003,25.483333333333334,25.483333333333334,25.099999999999998,25.516666666666666,2200,6103
2200_transmilenio-troncal,6109_transmilenio-troncal,20.21666666666667,19.03333333333333,19.03333333333333,19.03333333333333,18.983333333333334,19.03333333333333,2200,6109
2200_transmilenio-troncal,6107_transmilenio-troncal,22.55,20.733333333333334,21.53333333333333,21.53333333333333,20.683333333333334,21.566666666666666,2200,6107
2200_transmilenio-troncal,6106_transmilenio-troncal,20.866666666666667,19.450000000000003,21.616666666666667,21.616666666666667,21.333333333333332,21.65,2200,6106
2200_transmilenio-troncal,6101_transmilenio-troncal,27.883333333333336,26.76666666666667,28.683333333333334,28.683333333333334,28.299999999999997,28.716666666666665,2200,6101
2200_transmilenio-troncal,6104_transmilenio-troncal,23.866666666666667,22.55,24.816666666666666,24.816666666666666,24.366666666666667,24.849999999999998,2200,6104
2200_transmilenio-troncal,6001_transmilenio-troncal,32.68333333333334,31.566666666666666,33.6,33.6,33.199999999999996,33.63333333333333,2200,6001
2200_transmilenio-troncal,6002_transmilenio-troncal,30.750000000000004,29.55,31.583333333333332,31.583333333333332,31.199999999999996,31.616666666666664,2200,6002
2200_transmilenio-troncal,6108_transmilenio-troncal,20.9,19.666666666666664,19.78333333333333,19.78333333333333,19.466666666666665,19.816666666666666,2200,6108
2200_transmilenio-troncal,6000_transmilenio-troncal,34.18333333333334,33.366666666666674,35.5,35.5,34.86666666666666,35.53333333333333,2200,6000
2200_transmilenio-troncal,6105_transmilenio-troncal,22.1,20.71666666666667,22.983333333333334,22.983333333333334,22.7,23.016666666666666,2200,6105
2200_transmilenio-troncal,6102_transmilenio-troncal,26.050000000000004,24.85,26.883333333333333,26.883333333333333,26.499999999999996,26.916666666666664,2200,6102
2200_transmilenio-troncal,6111_transmilenio-troncal,20.816666666666663,18.2,18.2,18.2,18.15,18.2,2200,6111
2200_transmilenio-troncal,10005_transmilenio-troncal,23.53333333333333,22.166666666666664,23.53333333333333,23.53333333333333,23.483333333333334,23.53333333333333,2200,10005
2200_transmilenio-troncal,10001_transmilenio-troncal,32.78333333333333,31.416666666666664,32.78333333333333,32.78333333333333,32.733333333333334,32.78333333333333,2200,10001
2200_transmilenio-troncal,9108_transmilenio-troncal,21.95,20.583333333333332,20.65,21.95,21.900000000000002,21.95,2200,9108
2200_transmilenio-troncal,10010_transmilenio-troncal,27.78333333333333,26.416666666666664,27.78333333333333,27.78333333333333,27.733333333333334,27.78333333333333,2200,10010
2200_transmilenio-troncal,10007_transmilenio-troncal,27.216666666666665,26.18333333333333,26.4,26.4,25.78333333333333,26.433333333333334,2200,10007
2200_transmilenio-troncal,10000_transmilenio-troncal,32.9,31.53333333333333,32.9,32.9,32.85,32.9,2200,10000
2200_transmilenio-troncal,10002_transmilenio-troncal,30.28333333333333,28.916666666666664,30.28333333333333,30.28333333333333,30.233333333333334,30.28333333333333,2200,10002
2200_transmilenio-troncal,10008_transmilenio-troncal,34.46666666666667,33.43333333333333,33.65,33.65,33.03333333333333,33.68333333333334,2200,10008
2200_transmilenio-troncal,10006_transmilenio-troncal,30.0,28.1,28.1,33.43333333333334,33.416666666666664,33.46666666666667,2200,10006
2200_transmilenio-troncal,7000_transmilenio-troncal,37.28333333333333,34.733333333333334,36.733333333333334,36.733333333333334,35.75,36.2,2200,7000
2200_transmilenio-troncal,7102_transmilenio-troncal,11.516666666666667,9.2,9.2,9.2,8.933333333333334,9.2,2200,7102
2200_transmilenio-troncal,7506_transmilenio-troncal,40.78333333333333,38.233333333333334,40.233333333333334,40.233333333333334,39.166666666666664,39.7,2200,7506
2200_transmilenio-troncal,7505_transmilenio-troncal,42.78333333333333,40.233333333333334,42.233333333333334,42.233333333333334,41.166666666666664,41.7,2200,7505
